district,rooms,size,level,max_levels,price,street
Мирзо-Улугбекский,1,40.0,3,3,32500.0, Шастри
Мирзо-Улугбекский,1,40.0,3,3,32500.0, Шастри
Мирзо-Улугбекский,1,18.0,4,4,12000.0, Городок Тракторостроителей 2-й квартал
Чиланзарский,4,100.0,4,9,95000.0, Чиланзар квартал И
Мирзо-Улугбекский,1,41.0,3,4,31000.0, 1-й Паркентский проезд
Мирзо-Улугбекский,1,39.0,1,4,26000.0, Городок Тракторостроителей 1-й квартал
Мирзо-Улугбекский,1,24.0,2,4,13500.0, Буз-2 (Буз)
Мирзо-Улугбекский,1,33.0,3,5,25500.0, Буз-1 (Буз базар)
Мирзо-Улугбекский,2,45.0,2,4,33505.0, Ялангач
Яккасарайский,5,116.0,3,9,88000.0, Кушбеги
Мирзо-Улугбекский,2,60.0,1,5,46000.0, Ахмад Югнакий
Мирабадский,3,180.0,2,7,225000.0, Маштабиб ГАБУС
Яккасарайский,2,42.0,5,9,23500.0, Кушбеги
Яккасарайский,2,43.0,5,9,25500.0, Кушбеги
Яккасарайский,2,54.0,2,9,29500.0, Кушбеги
Яккасарайский,2,64.0,1,5,42000.0, Массив.Куш
Яккасарайский,4,96.0,2,5,84000.0, Малая кольцевая дорога
Чиланзарский,1,30.0,1,4,24500.0, Катта козиробод
Яккасарайский,4,110.0,4,8,71800.0, Бабура
Яккасарайский,2,36.0,2,5,37000.0, Бабура
Мирабадский,3,100.0,3,7,130000.0, Тизикова Дача
Сергелийский,2,50.0,1,4,37000.0, Спутник 4
Мирзо-Улугбекский,2,65.0,5,5,37000.0, Карасу 1-й квартал
Чиланзарский,3,88.0,6,8,55000.0, Чиланзар 17-й квартал
Мирзо-Улугбекский,2,64.0,5,5,34000.0, Карасу 6-й квартал
Мирабадский,4,100.0,7,9,105000.0, Фидокор (Чехова)
Мирзо-Улугбекский,3,69.0,4,4,47000.0, Мирзо Улугбека
Мирзо-Улугбекский,2,59.0,3,5,44000.0, Карасу 6-й квартал
Мирзо-Улугбекский,3,62.0,3,4,37000.0, Ялангач
Яккасарайский,2,36.0,2,4,29500.0, Ракат
Яккасарайский,2,51.0,4,4,33500.0, Шота Руставели
Мирабадский,1,38.0,2,9,37000.0, Госпитальный
Яккасарайский,2,59.0,1,2,33500.0, Бабура
Яккасарайский,2,42.0,2,2,34500.0, Афросиаб (пр-т Косманавтов)
Яккасарайский,2,45.0,1,2,40000.0, Шарафа Рашидова
Мирабадский,2,52.0,8,8,87000.0, Нукус
Яккасарайский,2,53.0,1,9,36500.0, Кушбеги
Мирабадский,4,120.0,2,8,145000.0, Госпитальный
Яккасарайский,3,106.0,4,6,138000.0, Абдуллы Каххара
Яккасарайский,2,42.0,1,2,37000.0, Афросиаб (пр-т Косманавтов)
Яккасарайский,4,100.0,7,9,60000.0, Башлык
Яккасарайский,1,40.0,2,5,27500.0, Кушбеги
Мирабадский,4,135.0,5,5,215000.0, Тараса Шевченко
Мирабадский,3,105.0,2,8,172000.0, Тараса Шевченко
Юнусабадский,3,70.0,4,4,64500.0, Киёт
Мирабадский,4,98.0,1,4,64000.0, Таллимаржон
Яккасарайский,2,56.0,4,4,37000.0, Хазинабог
Мирабадский,2,50.0,3,5,38500.0, Таллимаржон
Мирзо-Улугбекский,3,74.0,8,9,50000.0, Буюк Ипак йули (Луначарское)
Яккасарайский,4,131.0,7,8,85000.0, Шота Руставели
Мирзо-Улугбекский,2,60.0,3,9,53000.0, Олой
Мирабадский,4,147.0,3,12,136500.0, Нукус
Юнусабадский,1,42.0,4,4,25000.0, Юнус-абад-4
Мирзо-Улугбекский,3,65.0,4,5,41500.0, Буз-1 (Буз базар)
Учтепинский,1,42.0,4,5,25500.0, Чиланзар-23
Мирзо-Улугбекский,3,74.0,2,9,58000.0, Сайрам
Учтепинский,2,58.0,2,5,33800.0, Чиланзар-23
Мирзо-Улугбекский,2,50.0,1,4,36500.0, Карасу 6-й квартал
Чиланзарский,3,90.0,5,9,39500.0, Чиланзар
Мирабадский,2,62.0,9,9,57000.0, Афросиаб (пр-т Косманавтов)
Мирзо-Улугбекский,2,64.0,1,4,65000.0, Буюк Ипак йули (Луначарское)
Чиланзарский,3,67.0,4,4,35500.0, Чиланзар-18
Мирабадский,4,120.0,1,4,135000.0, Нукус
Яккасарайский,2,54.0,1,2,37000.0, Ракат
Яшнободский,3,63.0,4,5,43500.0, Городок Авиастроителей 3-й квартал
Яккасарайский,2,55.0,4,5,37000.0, Шота Руставели
Яккасарайский,2,60.0,8,9,37000.0, Шота Руставели
Яккасарайский,2,48.0,1,4,37500.0, Кичик Бешагач
Юнусабадский,2,60.0,2,4,75000.0, проспект Амира Темура
Мирзо-Улугбекский,2,47.0,3,9,46500.0, Буюк Ипак йули (Луначарское)
Мирзо-Улугбекский,2,40.0,2,5,40000.0, Буюк Ипак йули (Луначарское)
Юнусабадский,2,55.0,5,5,31500.0, Олой Бозори
Мирзо-Улугбекский,2,50.0,2,4,32000.0, Городок Тракторостроителей 2-й квартал
Мирзо-Улугбекский,2,55.0,4,4,32000.0, Феруза-2
Мирзо-Улугбекский,2,60.0,2,4,42000.0, Феруза-1
Мирзо-Улугбекский,1,24.0,3,4,15000.0, Буз-2 (Буз)
Юнусабадский,3,81.0,4,4,61500.0, Киёт
Мирзо-Улугбекский,2,65.0,3,9,60000.0, Дархан
Яккасарайский,2,52.0,9,12,38500.0, Конституция
Олмазорский,3,113.0,3,4,80000.0, Каракамыш квартал 2/5
Мирзо-Улугбекский,2,60.0,1,4,39000.0, Феруза-1
Чиланзарский,2,51.0,1,4,36500.0, Чиланзар квартал Ц
Учтепинский,2,50.0,1,4,36500.0, Чиланзар 12-й квартал
Мирабадский,4,130.0,3,9,105000.0, проспект Амира Темура
Мирзо-Улугбекский,2,55.0,5,5,33000.0, 3-й проезд Шуртепа
Мирабадский,3,113.0,5,5,65000.0, Таллимаржон
Чиланзарский,2,50.0,5,5,42000.0, Чиланзар 1-й квартал
Чиланзарский,2,51.0,1,4,39500.0, Чиланзар квартал Ц
Чиланзарский,5,100.0,2,4,68000.0, Аль-Хорезми-2
Учтепинский,2,54.0,3,5,35000.0, Чиланзар 25-й квартал
Мирзо-Улугбекский,3,75.0,3,4,67000.0, Дархан
Мирабадский,5,235.0,6,7,375000.0, Тараса Шевченко
Яккасарайский,2,48.0,1,4,39000.0, Глинки
Юнусабадский,3,125.0,3,9,82000.0, Самара
Яккасарайский,2,53.0,9,12,39000.0, Бабура
Юнусабадский,2,60.0,2,9,55000.0, пр-т Шарафа Рашидова
Яккасарайский,2,53.0,5,8,43000.0, Бабура
Юнусабадский,4,160.0,3,9,105000.0, Самара
Яккасарайский,2,42.0,2,2,39000.0, Афросиаб (пр-т Косманавтов)
Яккасарайский,2,40.0,1,4,40000.0, Урикзор
Яккасарайский,2,55.0,3,9,40000.0, Бабура
Мирабадский,2,50.0,4,4,47000.0, Шевченко
Яккасарайский,2,50.0,2,2,41000.0, Афросиаб (пр-т Косманавтов)
Чиланзарский,1,30.0,2,4,25700.0, Хамза метро
Мирзо-Улугбекский,1,26.0,3,4,22500.0, Буюк Ипак йули (Луначарское)
Сергелийский,2,52.0,2,5,36500.0, Sergili 5a
Мирзо-Улугбекский,3,80.0,1,4,110000.0, Буюк Ипак Йули
Мирзо-Улугбекский,1,40.0,5,5,26500.0, Газалкентская
Мирзо-Улугбекский,1,40.0,4,4,25000.0, Феруза-1
Шайхантахурский,4,100.0,5,9,76000.0," Коратош,103"
Мирзо-Улугбекский,2,50.0,3,4,42000.0, Дурмон йули
Яккасарайский,2,52.0,4,4,41000.0, Братислава (Глинка)
Мирабадский,2,65.0,2,4,66000.0, Азимова ГУВД
Мирзо-Улугбекский,4,140.0,4,5,105000.0, Мирзакалона Исмаили
Яккасарайский,2,48.0,2,3,42000.0, Бабура
Мирабадский,1,45.0,1,4,42000.0, Эльбек
Шайхантахурский,2,74.0,8,9,65000.0, Коратош
Чиланзарский,2,55.0,2,2,44000.0, Мукими
Мирзо-Улугбекский,1,40.0,1,4,24000.0, Феруза-1
Мирзо-Улугбекский,1,36.0,2,4,25000.0, Городок Тракторостроителей 2-й квартал
Мирзо-Улугбекский,1,18.0,4,4,12000.0, Городок Тракторостроителей 2-й квартал
Мирзо-Улугбекский,1,31.0,2,3,20000.0, Городок Тракторостроителей 1-й квартал
Юнусабадский,3,72.0,3,4,75000.0, Кашгар
Юнусабадский,3,75.0,1,4,107000.0, ц-5 Киёт (Ц-5)
Юнусабадский,1,43.0,7,9,38000.0, Ц5
Юнусабадский,4,279.0,1,3,150000.0, м.Минор
Яшнободский,1,52.0,4,5,57000.0, Садыка Азимова
Яккасарайский,2,50.0,7,8,45000.0, Бабура
Яккасарайский,2,53.0,4,5,46000.0, Шота Руставели
Мирабадский,3,85.0,2,5,78000.0," Эльбек, Виноград"
Яккасарайский,2,55.0,2,4,146000.0, Урикзор
Мирабадский,3,80.0,3,5,72000.0, жилой комплекс Эльбек
Мирабадский,3,75.0,4,5,55000.0, парк Фурката
Юнусабадский,1,43.0,1,4,47500.0, Ц5
Юнусабадский,3,75.0,1,4,95000.0, ц-5 Киёт (Ц-5)
Мирзо-Улугбекский,3,110.0,5,5,105000.0, Японское посольство
Яшнободский,3,86.0,4,9,89000.0, Паркентский корзинка
Яккасарайский,2,69.0,4,9,47000.0, Бабура
Олмазорский,3,70.0,6,7,57000.0, Урда
Мирзо-Улугбекский,2,60.0,3,5,45000.0, Карасу 6-й квартал
Яшнободский,3,80.0,1,5,78000.0, Садыка Азимова
Мирабадский,4,100.0,4,4,68000.0, ГУВД
Яккасарайский,2,68.0,9,9,47000.0, Бабура
Яккасарайский,2,66.0,2,9,47000.0, Башлык
Мирабадский,5,110.0,8,9,83000.0, TURANDOT
Яшнободский,3,75.0,6,9,82000.0, Садыка Азимова
Яккасарайский,2,50.0,2,3,47000.0, Шота Руставели
Яккасарайский,2,56.0,4,4,47000.0, Бабура
Мирабадский,4,145.0,5,9,120000.0, Гламур
Яккасарайский,2,60.0,5,9,48000.0, Бабура
Яккасарайский,2,51.0,4,4,49500.0, Афросиаб (пр-т Косманавтов)
Яккасарайский,2,65.0,2,8,75000.0, 1 нотариальная
Яккасарайский,2,51.0,5,5,51000.0, Шота Руставели
Мирзо-Улугбекский,3,75.0,1,4,90000.0, ц-2 Олой (Ц-2)
Мирабадский,3,80.0,4,4,88000.0, Айбек
Мирабадский,2,65.0,9,9,55000.0, 1-й Нукусский проезд
Яшнободский,2,65.0,5,5,68000.0, Японское посольство
Юнусабадский,3,75.0,4,4,55000.0, ц-5 Киёт (Ц-5)
Юнусабадский,1,42.0,1,4,50000.0, ц-5 Киёт (Ц-5)
Мирабадский,1,42.0,1,9,46000.0, Моштабиб
Мирабадский,2,68.0,5,5,44000.0, Госпитальный
Мирабадский,4,120.0,1,2,130000.0, Транспортный институт
Яшнободский,2,65.0,1,5,71000.0, С.Азимова
Яшнободский,4,95.0,4,5,91000.0, Японское посольство
Яшнободский,4,100.0,1,5,98000.0, С.Азимова
Мирабадский,2,50.0,4,4,47000.0, Шевченко
Яккасарайский,1,30.0,4,5,33500.0, Бобур боги
Яккасарайский,2,50.0,2,5,52000.0, Шота Руставели
Мирабадский,4,120.0,7,8,95000.0, 1-й проезд Сайхун
Яшнободский,2,65.0,5,5,68000.0, Садыка Азимова (Жуковского)
Яккасарайский,3,70.0,2,7,75000.0, Бабура
Яшнободский,2,52.0,1,4,40000.0, Ташсельмаш
Яшнободский,3,80.0,4,5,90000.0, Садыка Азимова (Жуковского)
Мирзо-Улугбекский,3,75.0,6,7,69000.0, Паркентский
Юнусабадский,3,131.0,4,8,125000.0, Алайский
Мирзо-Улугбекский,2,62.0,2,4,73000.0, ц-2 Олой (Ц-2)
Яшнободский,3,86.0,4,9,89000.0, Паркентский корзинка
Яккасарайский,2,61.0,1,5,54000.0, Кушбеги
Мирзо-Улугбекский,2,50.0,3,4,33500.0, Турон
Мирабадский,3,130.0,2,8,110000.0, Фидокор (Чехова)
Мирзо-Улугбекский,2,64.0,5,5,34000.0, Карасу 6-й квартал
Учтепинский,4,90.0,5,5,42000.0, Чиланзар 13-й квартал махалля Кухна-Чупонота
Мирзо-Улугбекский,1,33.0,4,4,23000.0, Феруза-1
Мирзо-Улугбекский,2,51.0,3,4,35000.0, Городок Тракторостроителей 1-й квартал
Мирзо-Улугбекский,1,19.0,4,4,20500.0, Буюк Ипак Йули
Мирзо-Улугбекский,2,38.0,2,4,35500.0, Буюк Ипак йули (Луначарское)
Мирзо-Улугбекский,1,30.0,5,5,23500.0, Карасу 1-й квартал
Мирзо-Улугбекский,2,52.0,1,2,31000.0, Дурмон йули
Яккасарайский,2,52.0,1,3,54000.0, Афросиаб (пр-т Косманавтов)
Яккасарайский,2,57.0,3,4,54998.0, Шота Руставели
Яшнободский,2,58.0,4,9,39000.0, Ташсельмаш
Мирзо-Улугбекский,5,100.0,4,4,48000.0, Феруза-2
Мирзо-Улугбекский,2,60.0,6,9,38500.0, Карасу 3-й квартал
Мирзо-Улугбекский,2,52.0,5,5,32000.0, Буз-1 (Буз базар)
Яккасарайский,1,39.0,1,5,26700.0, Башлык
Шайхантахурский,4,93.0,9,9,56000.0, Коратош
Юнусабадский,2,63.0,3,4,45000.0, Юнусабад-3
Чиланзарский,1,27.0,3,3,19500.0, Чиланзар 2-й квартал
Юнусабадский,3,70.0,3,4,57000.0, Юнусабад 16-й квартал
Мирзо-Улугбекский,2,63.0,4,9,46000.0, Буюк Ипак йули (Луначарское)
Мирзо-Улугбекский,1,23.0,2,3,17500.0, Элобод
Яккасарайский,4,210.0,5,5,250000.0, Ракат
Мирзо-Улугбекский,3,75.0,3,7,65000.0, Олтинтепа (Циолковского)
Мирзо-Улугбекский,3,80.0,1,4,92000.0, Олой
Юнусабадский,1,28.0,3,4,26500.0, Кашкар
Сергелийский,3,90.0,3,9,45000.0, Курувчи
Мирзо-Улугбекский,2,50.0,2,4,48000.0, Оккургон
Яккасарайский,3,79.0,8,9,74000.0, жилой комплекс Dream House
Мирабадский,5,110.0,5,9,135000.0, Фаровон
Мирабадский,3,76.0,7,16,63000.0, Метро Ойбек
Мирабадский,4,110.0,9,9,85000.0, Госпитальный
Яшнободский,3,87.0,8,9,43000.0, Мавлоно Риёзи
Сергелийский,5,108.0,4,5,46500.0, 1-й проезд Сергели
Мирабадский,4,150.0,6,9,145000.0, Ул. Ойбека
Яккасарайский,2,65.0,2,9,48500.0, Ш.Руставели
Чиланзарский,2,43.0,2,4,36000.0, Арнасой (Пионерская)
Мирзо-Улугбекский,6,347.0,3,9,240000.0, Ирригатор
Яккасарайский,5,280.0,1,8,280000.0, Шота Руставели
Юнусабадский,1,40.0,3,5,30000.0, Юнусабад-9
Мирабадский,3,100.0,7,9,90000.0, Миробод
Мирабадский,3,105.0,7,8,93000.0, Миробод
Шайхантахурский,1,43.0,3,4,38500.0, Зульфияханум
Олмазорский,2,53.0,2,4,23500.0, Каракамыш квартал 2/4
Мирабадский,3,80.0,2,4,80000.0, Миробод
Сергелийский,2,59.0,2,7,25000.0, Сергели-IV
Яккасарайский,3,75.0,5,9,47000.0, Башлык
Олмазорский,1,42.0,4,5,22800.0, Каракамыш квартал 2/4
Мирзо-Улугбекский,3,83.0,5,8,110000.0, жилой комплекс Akay City
Мирабадский,3,80.0,8,9,53000.0, Миробод
Мирабадский,2,60.0,8,9,32000.0, Миробод
Мирабадский,2,60.0,9,9,35000.0, Миробод
Юнусабадский,1,25.0,3,4,23501.0, ТашГРЭС
Мирабадский,2,60.0,5,8,42000.0, Миробод
Сергелийский,2,73.0,3,7,35200.0, Сергели-V
Яккасарайский,4,190.0,7,8,200000.0, Бабура
Яккасарайский,2,100.0,8,8,120000.0, Абдуллы Каххара
Шайхантахурский,2,46.0,5,9,24500.0, Хадра
Юнусабадский,3,60.0,3,4,33200.0, Юнусабад-7
Мирзо-Улугбекский,3,80.0,7,9,90000.0, Узбекистон овози
Олмазорский,3,70.0,2,4,55000.0, Каракамыш-2/1
Яккасарайский,3,90.0,3,4,120000.0, Нукус
Мирзо-Улугбекский,3,70.0,9,9,45000.0, Буюк Ипак йули (Луначарское)
Яккасарайский,3,80.0,1,10,95000.0, 6-й проезд Абдуллы Каххара
Яккасарайский,3,80.0,4,4,80000.0, Юсуфа Хос Ходжиба
Мирабадский,3,103.0,4,8,103000.0, Фидокор (Чехова)
Мирабадский,2,63.0,6,16,76000.0, Афросиаб (пр-т Косманавтов)
Яккасарайский,1,39.0,2,5,26500.0, Кушбеги
Яккасарайский,2,64.0,1,5,42000.0, Кушбеги
Яккасарайский,3,67.0,7,9,47000.0, Бабура
Яккасарайский,3,67.0,4,4,52000.0, Мукими
Яккасарайский,4,105.0,1,4,135000.0, Бабура
Шайхантахурский,3,107.0,4,4,75000.0, 1-й проезд Аль-Хорезми
Яккасарайский,6,191.0,1,4,240000.0, Бабура
Яшнободский,2,60.0,4,8,55000.0, Паркентский
Мирзо-Улугбекский,2,52.0,2,4,40500.0, Академгородок
Юнусабадский,3,67.0,4,5,46000.0, 1-й проезд Бадамзор
Яшнободский,3,70.0,2,9,70000.0, Паркентский (Циолковского)
Мирзо-Улугбекский,3,65.0,9,9,45500.0, ТТЗ-4
Мирзо-Улугбекский,2,48.0,2,5,39000.0, Мусаввирлар (Художников)
Мирзо-Улугбекский,3,70.0,4,5,61000.0, Светлана
Сергелийский,3,75.0,1,7,60000.0, 1-й проезд Сергели
Яшнободский,3,90.0,3,8,192000.0, 1-й Акдарьинский проезд
Сергелийский,6,150.0,1,7,120000.0, 1-й тупик Ёркин Хаёт
Яшнободский,3,80.0,4,9,65000.0, 1-й проезд Авиасозлар
Шайхантахурский,3,92.0,5,8,123000.0, Tashkent City Park
Олмазорский,4,96.0,4,4,51999.0, Каракамыш квартал 2/1
Юнусабадский,4,80.0,3,4,95000.0, Ц-5
Юнусабадский,2,50.0,7,9,39000.0, Ц-5
Мирзо-Улугбекский,2,52.0,2,4,40500.0, Академгородок
Шайхантахурский,3,96.0,4,8,110000.0, Себзар
Чиланзарский,2,52.0,3,4,36000.0, Чиланзар 9-й квартал
Яккасарайский,4,140.0,9,12,121861.0, Бабура
Мирзо-Улугбекский,4,135.0,3,4,129000.0, Метро Максим Горький
Шайхантахурский,3,76.0,5,5,60000.0, Международный деловой центр Tashkent City
Чиланзарский,3,153.0,2,9,112000.0, Чиланзар квартал Ц
Чиланзарский,4,107.0,4,4,84000.0, Чиланзар квартал Ц
Учтепинский,1,41.0,1,5,35000.0, Чиланзар 25-й квартал
Олмазорский,4,210.0,4,9,85000.0, Шифокорлар Шахарчаси
Яшнободский,3,79.0,4,9,62000.0, пр-т Мирзо Улугбека
Учтепинский,1,44.0,5,5,24000.0, Чиланзар 25-й квартал
Учтепинский,4,96.0,8,9,67000.0, Чиланзар 24-й квартал
Учтепинский,3,72.0,5,5,45500.0, Чиланзар 24-й квартал
Учтепинский,2,45.0,1,4,35000.0, Чиланзар 24-й квартал
Яккасарайский,3,110.0,3,6,285000.0, Махмуда Тараби
Мирабадский,3,135.0,5,5,160000.0, Тараса Шевченко
Мирзо-Улугбекский,3,75.0,3,4,72000.0, Уткир Султанов
Мирабадский,4,125.0,5,6,290000.0, Яккачинор
Мирабадский,2,45.0,5,6,56000.0, Нукус
Яккасарайский,2,52.0,1,3,54000.0, Афросиаб (пр-т Косманавтов)
Яккасарайский,2,57.0,3,4,55000.0, Шота Руставели
Яккасарайский,2,57.0,2,3,55000.0, Бабура
Мирабадский,2,48.0,3,4,34000.0, Миробод
Мирзо-Улугбекский,1,46.0,2,4,60000.0, ц-2 Олой (Ц-2)
Мирзо-Улугбекский,3,118.0,2,7,72000.0, Паркентская (Генерала Петрова)
Юнусабадский,3,58.0,4,4,68000.0, ц-5 Киёт (Ц-5)
Учтепинский,4,82.0,4,5,47500.0, Чиланзар 30-й квартал
Мирабадский,2,62.0,9,12,53000.0, Миробод
Яккасарайский,2,51.0,5,5,56000.0, Шота Руставели
Яккасарайский,2,58.0,1,4,57997.0, Бабура
Яккасарайский,2,50.0,4,4,59000.0, Афросиаб (пр-т Косманавтов)
Мирабадский,3,105.0,5,9,110000.0, Миробод
Учтепинский,2,65.0,7,9,36500.0, Чиланзар 31-й квартал
Яккасарайский,4,96.0,3,9,63000.0, Башлык
Шайхантахурский,4,90.0,1,4,105000.0, Ц-14 (ГАНГА)
Мирабадский,2,60.0,3,9,48000.0, Миробод
Юнусабадский,3,70.0,2,5,47500.0, Юнусабад 12-й квартал
Яккасарайский,2,60.0,2,3,60000.0, Ракат
Яккасарайский,2,72.0,7,9,64000.0, Бабура
Мирабадский,3,75.0,2,9,74000.0, Айбек
Яккасарайский,2,54.0,3,4,65000.0, Бабура
Шайхантахурский,1,30.0,1,4,29000.0, Самарканд Дарвоза
Яккасарайский,2,59.0,2,4,65000.0, Глинки
Мирзо-Улугбекский,1,33.0,1,4,29000.0, Ялангач
Яккасарайский,2,61.0,2,3,67000.0, Шота Руставели
Мирзо-Улугбекский,4,214.0,2,8,380000.0, Осиё
Яккасарайский,2,55.0,4,5,67000.0, Шота Руставели
Мирзо-Улугбекский,2,52.0,2,4,33000.0, 1-й проезд Сайрам
Яккасарайский,2,54.0,2,4,69000.0, Шота Руставели
Чиланзарский,3,70.0,3,4,48000.0, 2-й Чиланзарский проезд
Учтепинский,4,100.0,6,9,60000.0, Чиланзар 23-й квартал
Учтепинский,3,65.0,1,4,46600.0, Чиланзар 21-й квартал
Чиланзарский,3,70.0,3,3,40000.0, 2-й Чиланзарский проезд
Шайхантахурский,3,82.0,8,9,46500.0, Караташ
Яккасарайский,3,189.0,1,4,142500.0, Бабура
Чиланзарский,2,54.0,3,4,36000.0, 1-й проезд Катта Чиланзар
Шайхантахурский,3,74.0,4,4,46500.0, 1-й проезд Кукча
Мирзо-Улугбекский,4,140.0,5,8,295000.0, Новомосковкая Голден Хаус
Мирзо-Улугбекский,3,71.0,4,4,60000.0, Буюк Ипак йули (Луначарское)
Яккасарайский,2,63.0,4,4,72500.0, Шота Руставели
Учтепинский,1,42.16,1,4,29000.0, Чиланзар 24-й квартал
Юнусабадский,2,54.0,2,4,38000.0, Юнусабад-4
Чиланзарский,2,54.0,3,5,40000.0, Малая кольцевая дорога
Юнусабадский,3,70.0,1,9,69000.0, ц-6 Минор (Ц-6)
Яккасарайский,4,90.0,3,4,90000.0, Ракат махаля
Мирзо-Улугбекский,3,75.0,4,9,67000.0, Дархан
Шайхантахурский,2,68.0,9,9,30000.0, Ибн Сино-1
Шайхантахурский,2,63.0,9,9,30000.0, Ибн Сино-1
Яккасарайский,2,58.0,2,5,60000.0, Шота Руставели
Яккасарайский,2,60.0,5,8,74500.0, Бабура
Яккасарайский,2,77.0,4,4,87500.0, Глинки
Мирзо-Улугбекский,2,56.0,5,5,47000.0, Хамид Олимжон
Олмазорский,4,80.0,1,4,53500.0, Каракамыш квартал 2/4
Чиланзарский,3,72.0,8,9,40000.0, Чиланзар квартал 20Д
Чиланзарский,3,90.0,3,4,58000.0, Чиланзар-20 ориентир Мечеть
Мирзо-Улугбекский,2,60.0,8,9,48500.0, Буюк Ипак Йули
Мирабадский,2,60.0,8,9,48500.0, Айбека (пр-т Косманавтов)
Мирзо-Улугбекский,2,80.0,6,6,70000.0, Кары-Ниязи
Мирзо-Улугбекский,3,74.0,4,9,55000.0, Олой
Мирабадский,2,52.0,4,4,45000.0, Фидокор (Чехова)
Мирзо-Улугбекский,2,55.0,4,4,60000.0, Буюк Ипак Йули
Мирабадский,2,66.0,2,4,72000.0, Якуба Коласа
Мирабадский,2,52.0,2,4,54000.0, Шахрисабз
Мирзо-Улугбекский,2,56.0,2,4,62000.0, Буюк Ипак Йули
Мирзо-Улугбекский,2,65.0,2,3,67998.0, Буюк Ипак Йули
Мирзо-Улугбекский,2,65.0,2,4,62000.0, Буюк Ипак Йули
Мирзо-Улугбекский,2,60.0,1,5,70000.0, Буюк Ипак Йули
Мирзо-Улугбекский,1,40.0,5,9,50000.0, Буюк Ипак Йули
Мирзо-Улугбекский,1,50.0,5,9,56000.0, Буюк Ипак Йули
Юнусабадский,1,40.0,4,4,40000.0, Кашгар
Юнусабадский,2,60.0,4,4,65000.0, ц-5 Киёт (Ц-5)
Мирзо-Улугбекский,3,69.0,2,5,54000.0, Ялангач
Чиланзарский,3,67.0,3,4,57000.0, Чиланзар 17-й квартал
Яшнободский,2,104.0,7,7,130000.0, Паркент
Олмазорский,3,45.0,8,9,50000.0, Себзар
Учтепинский,2,47.0,3,4,34500.0, Чиланзар 14-й квартал
Шайхантахурский,3,82.0,3,3,67000.0, Алишера Навои
Олмазорский,2,56.0,3,5,32000.0, Бешкурган 3-й квартал
Чиланзарский,3,70.0,8,9,47400.0, Чиланзар 16-й квартал
Яккасарайский,3,52.0,4,4,54000.0, Шота Руставелли
Учтепинский,2,40.0,4,5,31000.0, Чиланзар 15-й квартал
Мирабадский,3,75.0,7,9,90000.0, Айбека (пр-т Косманавтов)
Учтепинский,2,52.0,1,4,36500.0, Чиланзар 14-й квартал
Мирабадский,2,48.0,3,5,42000.0, Абдурауф Фитрат
Мирзо-Улугбекский,3,83.0,3,4,90999.0, Олой
Мирзо-Улугбекский,3,84.0,3,4,107000.0, Буюк Ипак Йули
Мирзо-Улугбекский,3,75.0,3,4,69000.0, Мирзакалон Исмаили
Юнусабадский,3,130.0,2,9,220000.0, Кашгар
Юнусабадский,3,112.0,2,9,130000.0, Киёт
Юнусабадский,3,73.0,2,9,110000.0, Кашкар
Мирабадский,3,74.0,2,9,93000.0, Айбека (пр-т Косманавтов)
Юнусабадский,3,100.0,2,4,89000.0, Минор
Мирзо-Улугбекский,3,84.0,2,4,91998.0, Буюк Ипак Йули
Юнусабадский,3,70.0,1,4,50000.0, Юнусабад 8-й квартал
Яккасарайский,3,75.0,1,4,73000.0, Бабура
Юнусабадский,2,54.0,9,9,50000.0, Кашгар
Яшнободский,4,96.0,3,5,93000.0,
Юнусабадский,4,178.0,7,8,250000.0, ц-4 Кашгар (Ц-4)
Чиланзарский,2,49.0,1,4,34500.0, Чиланзар 17-й квартал
Учтепинский,1,36.0,4,7,32000.0, Чиланзар 13-й квартал махалля Кухна-Чупонота
Учтепинский,3,62.0,2,4,42200.0, Чиланзар 12-й квартал
Яшнободский,2,46.0,2,4,28500.0, Лисунова 2/2/4/ шолохова
Мирзо-Улугбекский,4,85.0,2,4,75000.0, Ялангач
Чиланзарский,2,52.0,2,4,37000.0, Чиланзар  6 квартал
Олмазорский,3,70.0,9,9,41000.0, Олмазорский район массив Себзар
Чиланзарский,2,42.0,3,4,37000.0, Чиланзар 6-й квартал
Чиланзарский,3,68.0,4,4,44000.0, Чиланзар 5-й квартал
Чиланзарский,3,90.0,11,12,58000.0, Чиланзар 5-й квартал
Мирабадский,4,152.0,2,8,380000.0, Ул.Кунаева Габус Новастрой 4/2/8  Евро
Чиланзарский,2,52.0,4,5,41000.0, Чиланзар 5-й квартал
Чиланзарский,2,42.0,3,4,30000.0, Чиланзар 8-й квартал
Юнусабадский,3,80.0,1,5,59000.0, Юнусабад-17
Яккасарайский,7,225.0,7,8,190000.0, Шота Руставели
Яккасарайский,2,90.0,3,4,90000.0, Мирабад
Мирзо-Улугбекский,4,130.0,3,4,195000.0, ц-1 Буюк ипак йули (Ц-1)
Мирзо-Улугбекский,3,66.0,2,5,63000.0, Аккурган
Юнусабадский,5,145.0,3,5,250000.0, ц-5 Киёт (Ц-5)
Яккасарайский,1,30.0,4,4,28000.0, Бобур
Шайхантахурский,3,70.0,3,9,58000.0, Абая
Сергелийский,1,44.9,9,9,19335.0, Курувчи
Юнусабадский,4,82.0,1,4,85500.0, ц-4 Кашгар (Ц-4)
